SEX,GEO,TIME,AGE,UNIT,ISCED11,Value,FlagFootnotes
T,EA19,2015,Y15-64,PC,ED3_4,43.8,
T,EA19,2015,Y15-64,PC,ED5-8,25.9,
T,EA18,2006,Y15-64,PC,ED0-2,37.6,
T,EA18,2006,Y15-64,PC,ED3-8,62.4,
T,EA18,2006,Y15-64,PC,ED3_4,42.1,
T,EA18,2006,Y15-64,PC,ED5-8,20.3,
T,EA18,2007,Y15-64,PC,ED0-2,36.8,
T,EA18,2007,Y15-64,PC,ED3-8,63.2,
T,EA18,2007,Y15-64,PC,ED3_4,42.4,
T,EA18,2007,Y15-64,PC,ED5-8,20.8,
T,EA18,2008,Y15-64,PC,ED0-2,36.0,
T,EA18,2008,Y15-64,PC,ED3-8,64.0,
T,EA18,2008,Y15-64,PC,ED3_4,42.6,
T,EA18,2008,Y15-64,PC,ED5-8,21.4,
T,EA18,2009,Y15-64,PC,ED0-2,35.5,
T,EA18,2009,Y15-64,PC,ED3-8,64.5,
T,EA18,2009,Y15-64,PC,ED3_4,42.4,
T,EA18,2009,Y15-64,PC,ED5-8,22.1,
T,EA18,2010,Y15-64,PC,ED0-2,34.8,
T,EA18,2010,Y15-64,PC,ED3-8,65.2,
T,EA18,2010,Y15-64,PC,ED3_4,42.6,
T,EA18,2010,Y15-64,PC,ED5-8,22.6,
T,EA18,2011,Y15-64,PC,ED0-2,33.5,
T,EA18,2011,Y15-64,PC,ED3-8,66.5,
T,EA18,2011,Y15-64,PC,ED3_4,43.1,
T,EA18,2011,Y15-64,PC,ED5-8,23.4,
T,EA18,2012,Y15-64,PC,ED0-2,32.7,
T,EA18,2012,Y15-64,PC,ED3-8,67.3,
T,EA18,2012,Y15-64,PC,ED3_4,43.2,
T,EA18,2012,Y15-64,PC,ED5-8,24.2,
T,EA18,2013,Y15-64,PC,ED0-2,31.6,
T,EA18,2013,Y15-64,PC,ED3-8,68.4,
T,EA18,2013,Y15-64,PC,ED3_4,43.5,
T,EA18,2013,Y15-64,PC,ED5-8,24.9,
T,EA18,2014,Y15-64,PC,ED0-2,31.0,b
T,EA18,2014,Y15-64,PC,ED3-8,69.0,b
T,EA18,2014,Y15-64,PC,ED3_4,43.8,b
T,EA18,2014,Y15-64,PC,ED5-8,25.2,b
T,EA18,2015,Y15-64,PC,ED0-2,30.5,
T,EA18,2015,Y15-64,PC,ED3-8,69.5,
T,EA18,2015,Y15-64,PC,ED3_4,43.7,
T,EA18,2015,Y15-64,PC,ED5-8,25.8,
T,EA17,2006,Y15-64,PC,ED0-2,37.7,
T,EA17,2006,Y15-64,PC,ED3-8,62.3,
T,EA17,2006,Y15-64,PC,ED3_4,42.0,
T,EA17,2006,Y15-64,PC,ED5-8,20.3,
T,EA17,2007,Y15-64,PC,ED0-2,36.9,
T,EA17,2007,Y15-64,PC,ED3-8,63.1,
T,EA17,2007,Y15-64,PC,ED3_4,42.3,
T,EA17,2007,Y15-64,PC,ED5-8,20.8,
T,EA17,2008,Y15-64,PC,ED0-2,36.1,
T,EA17,2008,Y15-64,PC,ED3-8,63.9,
T,EA17,2008,Y15-64,PC,ED3_4,42.5,
T,EA17,2008,Y15-64,PC,ED5-8,21.4,
T,EA17,2009,Y15-64,PC,ED0-2,35.6,
T,EA17,2009,Y15-64,PC,ED3-8,64.4,
T,EA17,2009,Y15-64,PC,ED3_4,42.3,
T,EA17,2009,Y15-64,PC,ED5-8,22.1,
T,EA17,2010,Y15-64,PC,ED0-2,34.9,
T,EA17,2010,Y15-64,PC,ED3-8,65.1,
T,EA17,2010,Y15-64,PC,ED3_4,42.5,
T,EA17,2010,Y15-64,PC,ED5-8,22.6,
T,EA17,2011,Y15-64,PC,ED0-2,33.6,
T,EA17,2011,Y15-64,PC,ED3-8,66.4,
T,EA17,2011,Y15-64,PC,ED3_4,43.0,
T,EA17,2011,Y15-64,PC,ED5-8,23.4,
T,EA17,2012,Y15-64,PC,ED0-2,32.8,
T,EA17,2012,Y15-64,PC,ED3-8,67.2,
T,EA17,2012,Y15-64,PC,ED3_4,43.1,
T,EA17,2012,Y15-64,PC,ED5-8,24.2,
T,EA17,2013,Y15-64,PC,ED0-2,31.6,
T,EA17,2013,Y15-64,PC,ED3-8,68.4,
T,EA17,2013,Y15-64,PC,ED3_4,43.5,
T,EA17,2013,Y15-64,PC,ED5-8,24.9,
T,EA17,2014,Y15-64,PC,ED0-2,31.1,b
T,EA17,2014,Y15-64,PC,ED3-8,68.9,b
T,EA17,2014,Y15-64,PC,ED3_4,43.7,b
T,EA17,2014,Y15-64,PC,ED5-8,25.2,b
T,EA17,2015,Y15-64,PC,ED0-2,30.6,
T,EA17,2015,Y15-64,PC,ED3-8,69.4,
T,EA17,2015,Y15-64,PC,ED3_4,43.6,
T,EA17,2015,Y15-64,PC,ED5-8,25.8,
T,BE,2006,Y15-64,PC,ED0-2,35.7,
T,BE,2006,Y15-64,PC,ED3-8,64.3,
T,BE,2006,Y15-64,PC,ED3_4,36.4,
T,BE,2006,Y15-64,PC,ED5-8,27.9,
T,BE,2007,Y15-64,PC,ED0-2,34.8,
T,BE,2007,Y15-64,PC,ED3-8,65.2,
T,BE,2007,Y15-64,PC,ED3_4,37.1,
T,BE,2007,Y15-64,PC,ED5-8,28.1,
T,BE,2008,Y15-64,PC,ED0-2,33.6,b
T,BE,2008,Y15-64,PC,ED3-8,66.4,b
T,BE,2008,Y15-64,PC,ED3_4,38.0,b
T,BE,2008,Y15-64,PC,ED5-8,28.4,b
T,BE,2009,Y15-64,PC,ED0-2,32.4,
T,BE,2009,Y15-64,PC,ED3-8,67.6,
T,BE,2009,Y15-64,PC,ED3_4,38.1,
T,BE,2009,Y15-64,PC,ED5-8,29.4,
T,BE,2010,Y15-64,PC,ED0-2,32.6,
T,BE,2010,Y15-64,PC,ED3-8,67.4,
T,BE,2010,Y15-64,PC,ED3_4,36.7,
T,BE,2010,Y15-64,PC,ED5-8,30.7,
T,BE,2011,Y15-64,PC,ED0-2,31.9,
T,BE,2011,Y15-64,PC,ED3-8,68.1,
T,BE,2011,Y15-64,PC,ED3_4,37.7,
T,BE,2011,Y15-64,PC,ED5-8,30.4,
T,BE,2012,Y15-64,PC,ED0-2,31.4,
T,BE,2012,Y15-64,PC,ED3-8,68.6,
T,BE,2012,Y15-64,PC,ED3_4,37.4,
T,BE,2012,Y15-64,PC,ED5-8,31.3,
T,BE,2013,Y15-64,PC,ED0-2,30.4,
T,BE,2013,Y15-64,PC,ED3-8,69.6,
T,BE,2013,Y15-64,PC,ED3_4,38.1,
T,BE,2013,Y15-64,PC,ED5-8,31.5,
T,BE,2014,Y15-64,PC,ED0-2,29.5,b
T,BE,2014,Y15-64,PC,ED3-8,70.5,b
T,BE,2014,Y15-64,PC,ED3_4,37.8,b
T,BE,2014,Y15-64,PC,ED5-8,32.6,b
T,BE,2015,Y15-64,PC,ED0-2,28.7,
T,BE,2015,Y15-64,PC,ED3-8,71.3,
T,BE,2015,Y15-64,PC,ED3_4,38.7,
T,BE,2015,Y15-64,PC,ED5-8,32.7,
T,BG,2006,Y15-64,PC,ED0-2,30.6,b
T,BG,2006,Y15-64,PC,ED3-8,69.4,b
T,BG,2006,Y15-64,PC,ED3_4,51.3,b
T,BG,2006,Y15-64,PC,ED5-8,18.2,b
T,BG,2007,Y15-64,PC,ED0-2,28.7,
T,BG,2007,Y15-64,PC,ED3-8,71.3,
T,BG,2007,Y15-64,PC,ED3_4,52.8,
T,BG,2007,Y15-64,PC,ED5-8,18.5,
T,BG,2008,Y15-64,PC,ED0-2,28.3,
T,BG,2008,Y15-64,PC,ED3-8,71.7,
T,BG,2008,Y15-64,PC,ED3_4,52.8,
T,BG,2008,Y15-64,PC,ED5-8,18.9,
T,BG,2009,Y15-64,PC,ED0-2,27.6,
T,BG,2009,Y15-64,PC,ED3-8,72.4,
T,BG,2009,Y15-64,PC,ED3_4,53.2,
T,BG,2009,Y15-64,PC,ED5-8,19.2,
T,BG,2010,Y15-64,PC,ED0-2,25.1,b
T,BG,2010,Y15-64,PC,ED3-8,74.9,b
T,BG,2010,Y15-64,PC,ED3_4,55.1,b
T,BG,2010,Y15-64,PC,ED5-8,19.7,b
T,BG,2011,Y15-64,PC,ED0-2,24.0,
T,BG,2011,Y15-64,PC,ED3-8,76.0,
T,BG,2011,Y15-64,PC,ED3_4,55.9,
T,BG,2011,Y15-64,PC,ED5-8,20.1,
T,BG,2012,Y15-64,PC,ED0-2,23.0,
T,BG,2012,Y15-64,PC,ED3-8,77.0,
T,BG,2012,Y15-64,PC,ED3_4,56.4,
T,BG,2012,Y15-64,PC,ED5-8,20.7,
T,BG,2013,Y15-64,PC,ED0-2,22.1,
T,BG,2013,Y15-64,PC,ED3-8,77.9,
T,BG,2013,Y15-64,PC,ED3_4,55.7,
T,BG,2013,Y15-64,PC,ED5-8,22.2,
T,BG,2014,Y15-64,PC,ED0-2,22.6,b
T,BG,2014,Y15-64,PC,ED3-8,77.4,b
T,BG,2014,Y15-64,PC,ED3_4,53.8,b
T,BG,2014,Y15-64,PC,ED5-8,23.6,b
T,BG,2015,Y15-64,PC,ED0-2,22.2,
T,BG,2015,Y15-64,PC,ED3-8,77.8,
T,BG,2015,Y15-64,PC,ED3_4,53.7,
T,BG,2015,Y15-64,PC,ED5-8,24.1,
T,CZ,2006,Y15-64,PC,ED0-2,16.4,
T,CZ,2006,Y15-64,PC,ED3-8,83.6,
T,CZ,2006,Y15-64,PC,ED3_4,72.2,
T,CZ,2006,Y15-64,PC,ED5-8,11.4,
T,CZ,2007,Y15-64,PC,ED0-2,16.2,
T,CZ,2007,Y15-64,PC,ED3-8,83.8,
T,CZ,2007,Y15-64,PC,ED3_4,72.2,
T,CZ,2007,Y15-64,PC,ED5-8,11.6,
T,CZ,2008,Y15-64,PC,ED0-2,15.8,
T,CZ,2008,Y15-64,PC,ED3-8,84.2,
T,CZ,2008,Y15-64,PC,ED3_4,71.7,
T,CZ,2008,Y15-64,PC,ED5-8,12.4,
T,CZ,2009,Y15-64,PC,ED0-2,15.2,
T,CZ,2009,Y15-64,PC,ED3-8,84.8,
T,CZ,2009,Y15-64,PC,ED3_4,71.4,
T,CZ,2009,Y15-64,PC,ED5-8,13.4,
T,CZ,2010,Y15-64,PC,ED0-2,14.4,
T,CZ,2010,Y15-64,PC,ED3-8,85.6,
T,CZ,2010,Y15-64,PC,ED3_4,71.1,
T,CZ,2010,Y15-64,PC,ED5-8,14.5,
T,CZ,2011,Y15-64,PC,ED0-2,13.9,b
T,CZ,2011,Y15-64,PC,ED3-8,86.1,b
T,CZ,2011,Y15-64,PC,ED3_4,70.3,b
T,CZ,2011,Y15-64,PC,ED5-8,15.8,b
T,CZ,2012,Y15-64,PC,ED0-2,13.4,
T,CZ,2012,Y15-64,PC,ED3-8,86.6,
T,CZ,2012,Y15-64,PC,ED3_4,69.6,
T,CZ,2012,Y15-64,PC,ED5-8,17.0,
T,CZ,2013,Y15-64,PC,ED0-2,12.9,
T,CZ,2013,Y15-64,PC,ED3-8,87.1,
T,CZ,2013,Y15-64,PC,ED3_4,69.0,
T,CZ,2013,Y15-64,PC,ED5-8,18.1,
T,CZ,2014,Y15-64,PC,ED0-2,12.4,b
T,CZ,2014,Y15-64,PC,ED3-8,87.6,b
T,CZ,2014,Y15-64,PC,ED3_4,68.5,b
T,CZ,2014,Y15-64,PC,ED5-8,19.1,b
T,CZ,2015,Y15-64,PC,ED0-2,12.4,
T,CZ,2015,Y15-64,PC,ED3-8,87.6,
T,CZ,2015,Y15-64,PC,ED3_4,67.8,
T,CZ,2015,Y15-64,PC,ED5-8,19.8,
T,DK,2006,Y15-64,PC,ED0-2,25.4,
T,DK,2006,Y15-64,PC,ED3-8,74.6,
T,DK,2006,Y15-64,PC,ED3_4,45.3,
T,DK,2006,Y15-64,PC,ED5-8,29.3,
T,DK,2007,Y15-64,PC,ED0-2,32.3,b
T,DK,2007,Y15-64,PC,ED3-8,67.7,b
T,DK,2007,Y15-64,PC,ED3_4,41.7,b
T,DK,2007,Y15-64,PC,ED5-8,26.0,b
T,DK,2008,Y15-64,PC,ED0-2,32.9,
T,DK,2008,Y15-64,PC,ED3-8,67.1,
T,DK,2008,Y15-64,PC,ED3_4,40.8,
T,DK,2008,Y15-64,PC,ED5-8,26.3,
T,DK,2009,Y15-64,PC,ED0-2,32.2,
T,DK,2009,Y15-64,PC,ED3-8,67.8,
T,DK,2009,Y15-64,PC,ED3_4,40.9,
T,DK,2009,Y15-64,PC,ED5-8,26.9,
T,DK,2010,Y15-64,PC,ED0-2,31.8,
T,DK,2010,Y15-64,PC,ED3-8,68.2,
T,DK,2010,Y15-64,PC,ED3_4,40.7,
T,DK,2010,Y15-64,PC,ED5-8,27.5,
T,DK,2011,Y15-64,PC,ED0-2,30.7,
T,DK,2011,Y15-64,PC,ED3-8,69.3,
T,DK,2011,Y15-64,PC,ED3_4,41.5,
T,DK,2011,Y15-64,PC,ED5-8,27.9,
T,DK,2012,Y15-64,PC,ED0-2,29.8,
T,DK,2012,Y15-64,PC,ED3-8,70.2,
T,DK,2012,Y15-64,PC,ED3_4,41.6,
T,DK,2012,Y15-64,PC,ED5-8,28.6,
T,DK,2013,Y15-64,PC,ED0-2,29.5,
T,DK,2013,Y15-64,PC,ED3-8,70.5,
T,DK,2013,Y15-64,PC,ED3_4,41.4,
T,DK,2013,Y15-64,PC,ED5-8,29.1,
T,DK,2014,Y15-64,PC,ED0-2,28.2,b
T,DK,2014,Y15-64,PC,ED3-8,71.8,b
T,DK,2014,Y15-64,PC,ED3_4,42.0,b
T,DK,2014,Y15-64,PC,ED5-8,29.8,b
T,DK,2015,Y15-64,PC,ED0-2,27.3,
T,DK,2015,Y15-64,PC,ED3-8,72.7,
T,DK,2015,Y15-64,PC,ED3_4,42.0,
T,DK,2015,Y15-64,PC,ED5-8,30.7,
T,DE,2006,Y15-64,PC,ED0-2,24.6,
T,DE,2006,Y15-64,PC,ED3-8,75.4,
T,DE,2006,Y15-64,PC,ED3_4,55.3,
T,DE,2006,Y15-64,PC,ED5-8,20.1,
T,DE,2007,Y15-64,PC,ED0-2,23.5,
T,DE,2007,Y15-64,PC,ED3-8,76.5,
T,DE,2007,Y15-64,PC,ED3_4,56.1,
T,DE,2007,Y15-64,PC,ED5-8,20.4,
T,DE,2008,Y15-64,PC,ED0-2,22.3,
T,DE,2008,Y15-64,PC,ED3-8,77.7,
T,DE,2008,Y15-64,PC,ED3_4,56.3,
T,DE,2008,Y15-64,PC,ED5-8,21.4,
T,DE,2009,Y15-64,PC,ED0-2,22.0,
T,DE,2009,Y15-64,PC,ED3-8,78.0,
T,DE,2009,Y15-64,PC,ED3_4,55.8,
T,DE,2009,Y15-64,PC,ED5-8,22.3,
T,DE,2010,Y15-64,PC,ED0-2,21.0,b
T,DE,2010,Y15-64,PC,ED3-8,79.0,b
T,DE,2010,Y15-64,PC,ED3_4,56.3,b
T,DE,2010,Y15-64,PC,ED5-8,22.7,b
T,DE,2011,Y15-64,PC,ED0-2,18.1,
T,DE,2011,Y15-64,PC,ED3-8,81.9,
T,DE,2011,Y15-64,PC,ED3_4,57.6,
